dynasty,addr_chn,region,count,x_coord,y_coord
宋,新鄭,北,28,113.71908599999999,34.397324
宋,果州,南,28,106.105835,30.819111
宋,福安縣,未知,28,,
宋,紹興府,南,28,120.578262,30.004515
宋,邵陽,南,28,111.474937,27.249315
宋,鄆州,北,28,116.28256226,35.956073761
宋,如皋,南,27,120.558662,32.384022
宋,揚州,南,27,119.437187,32.39127
宋,江南,未知,27,,
宋,筠州,南,27,115.372276,28.425598000000004
宋,臨淄,北,27,118.370405,36.864015
宋,貴池,南,27,117.481834,30.654661
宋,達州,南,27,107.5001,31.22697
宋,郴州,南,27,113.02513899999998,25.802719
宋,銅陵,南,27,117.787499,30.953846
宋,剡縣,南,26,120.815277,29.58749
宋,南陽,北,26,112.535469,33.001678
宋,平樂,南,26,110.634869,24.642346999999997
宋,汲縣,北,26,114.070267,35.410385
宋,洪雅,南,26,103.151785,29.911528999999998
宋,秀州,南,26,120.753204,30.767469
宋,蓬溪,南,26,105.718852,30.775914
宋,龍川,南,26,115.186172,24.060003
宋,全椒,南,25,118.264374,32.098347
宋,太原府,北,25,112.56482699999998,37.873753
宋,建康府,南,25,118.76898999999999,32.052563
宋,東明,北,25,114.859356,34.92438
宋,柳州,南,25,109.40439599999999,24.309987999999997
宋,武康,南,25,119.964065,30.550453
宋,泰州,南,25,119.91123999999999,32.495872
宋,靖安,南,25,115.356644,28.861024999999998
宋,靜江府,南,25,110.28626251,25.280059814
宋,任城,北,24,116.57786500000002,35.410431
宋,汝陽,北,24,114.346001,33.007538
宋,泰寧,南,24,117.15911100083332,26.898485007666668
宋,西河,北,24,111.77902999999999,37.263405
宋,上猶,南,23,114.531746,25.796444
宋,信都,北,23,115.56381199999998,37.565983
宋,大庾,南,23,114.362829,25.399312
宋,桂陽,南,23,112.378121,24.779701
宋,清流,南,23,117.13805760869563,27.501232521739134
宋,漳浦,南,23,117.610733,24.117096
宋,營道,南,23,111.590881,25.531357000000003
宋,興國,南,23,115.342766,26.321701
宋,京兆府,北,22,108.94420624,34.266605377
宋,定海,南,22,121.71171600000001,29.953701
宋,漢州,南,22,104.28306580000002,30.981309891
宋,臨桂,南,22,110.286262,25.280059999999995
宋,陳留,北,22,114.524528,34.673195
宋,揭陽,南,21,116.349769,23.542976
宋,江南西路,未知,21,,
宋,淄川,北,21,117.96095600000001,36.635994
宋,湘潭,南,21,112.904414,27.704017
宋,衡州,南,21,112.59703825714286,26.901617047619045
宋,譙縣,北,21,115.77090500000001,33.879292
宋,青州,北,21,118.478098,36.69748
宋,全州,南,20,111.065003,25.931813999999996
宋,咸平,北,20,114.45907600000001,34.475006
宋,興寧,南,20,113.53427490000001,25.84072905
宋,始興,南,19,114.063148,24.945763
宋,巢縣,南,19,117.86484500000002,31.601736000000002
宋,廬江,南,19,117.28835300000001,31.253363
宋,武陵,南,19,111.6913,29.034807
宋,河東,北,19,110.332306,34.835129
宋,臨江軍,南,19,115.398987,28.015566
宋,興化軍,南,19,119.01110100000001,25.433954
宋,蕪湖,南,19,118.362618,31.334949000000005
宋,銅梁,南,19,106.026779,29.944742
宋,寧國軍節度,未知,18,,
宋,巴西,南,18,104.7676,31.464276
宋,平棘,北,18,114.772179,37.752926
宋,成武,北,18,115.875175,34.962231
宋,成紀,北,18,105.7258,34.5853
宋,撫州,南,18,116.35134125,27.984781265
宋,曲阜,北,18,116.986059,35.597553
宋,武功,北,18,108.105102,34.332054
宋,溧水,南,18,119.02286499999998,31.656557000000003
宋,濟源,北,18,112.58267212,35.092437744
宋,營山,南,18,106.565033,31.075796
宋,石照,南,18,106.259559,30.003943
宋,臨城,北,18,114.50006100000002,37.439831
宋,虔化,南,18,116.010101,26.466515
宋,西充,南,18,105.880943,31.010457999999996
宋,鄢陵,北,18,114.195343,34.107433
宋,巴陵,南,17,113.097656,29.37126
宋,新安,北,17,112.144302,34.733059
宋,昌化,南,17,119.211807,30.171944
宋,松溪,南,17,118.774612,27.528404
宋,永泰,南,17,117.36030864705882,26.50071729411765
宋,福建路,未知,17,,
宋,趙州,北,17,114.772179,37.752926
宋,鄆城,北,17,115.94113788235295,35.60533335294117
宋,鄭縣,北,17,109.759888,34.519627
宋,陽武,北,17,113.962967,35.051949
宋,雩都,南,17,115.409363,25.954086
宋,高要,南,17,112.453155,23.056921
宋,博羅,南,16,114.273606,23.172247
宋,合江,南,16,105.826729,28.812002
宋,大冶,南,16,114.962959,30.093138
宋,太康,北,16,114.85151756249999,34.0686930625
宋,定陶,北,16,115.552425,35.089468
宋,宜州,南,16,108.655884,24.49073
宋,寧國,南,16,118.977539,30.619968
宋,寶塞,北,16,115.34796,38.83195
宋,尉氏,北,16,114.18077087,34.413452148
宋,朐山,北,16,119.126012,34.582213
宋,石城,南,16,116.338944,26.328182
宋,諸城,北,16,119.403984,35.993355
宋,通遠軍,北,16,104.620308,35.575092
宋,邵武軍,南,16,117.483398,27.337692
宋,電白,南,16,111.03779987499999,22.010552999999998
宋,靜海,南,16,120.854645,32.010471
宋,順慶府,南,16,106.10583496,30.81911087
宋,內黃,北,15,114.745884,35.921836
宋,商河,北,15,117.157547,37.308677673
宋,奉符,北,15,117.126519,36.182097
宋,安豐,南,15,116.67452,32.334127
宋,寧化,北,15,112.10099800000002,38.642059
宋,寧鄉,南,15,112.55047600000002,28.2593
宋,建寧府,南,15,118.323784,27.038864
宋,德陽,南,15,104.391006,31.132372
宋,懷州,北,15,112.93698883,35.089302063
宋,新繁,南,15,104.01598399999999,30.876556
