作品编号	得分构型	作品类别
2022023772	000	微课与教学辅助
2022011938	000	人工智能应用
2022027446	000	软件应用与开发
2022043750	000	信息可视化设计
2022009090	000	物联网应用
2022043781	000	信息可视化设计
2022027400	000	软件应用与开发
2022027256	000	软件应用与开发
2022043864	000	数媒静态设计专业组
2022026944	000	数媒游戏与交互设计专业组
2022009611	000	物联网应用
2022011919	000	软件应用与开发
2022037794	000	信息可视化设计
2022043855	000	信息可视化设计
2022006593	000	人工智能应用
2022043865	000	信息可视化设计
2022043919	000	信息可视化设计
2022043879	000	数媒游戏与交互设计专业组
2022043935	000	微课与教学辅助
2022037967	000	人工智能应用
2022023948	000	大数据应用
2022006589	000	人工智能应用
2022010721	000	人工智能应用
2022010540	000	数媒静态设计
2022043984	000	信息可视化设计
2022010612	000	信息可视化设计
2022026125	000	数媒动漫与短片
2022043978	000	微课与教学辅助
2022009335	000	信息可视化设计
2022043989	000	微课与教学辅助
2022044020	000	数媒静态设计
2022014844	000	人工智能应用
2022025886	000	大数据应用
2022044003	000	信息可视化设计
2022044072	000	数媒静态设计专业组
2022044057	000	数媒动漫与短片
2022025202	000	大数据应用
2022011245	000	物联网应用
2022009411	000	软件应用与开发
2022044089	000	数媒动漫与短片专业组
2022025189	000	软件应用与开发
2022038259	000	数媒静态设计专业组
2022024727	000	数媒游戏与交互设计
2022044208	000	数媒静态设计专业组
2022006307	000	信息可视化设计
2022038312	000	数媒动漫与短片
2022009357	000	软件应用与开发
2022044234	000	数媒静态设计专业组
2022036229	000	信息可视化设计
2022029954	000	数媒静态设计
2022046190	000	数媒动漫与短片
2022010942	000	微课与教学辅助
2022044562	000	数媒静态设计
2022047516	000	数媒静态设计
2022046251	000	物联网应用
2022046494	000	数媒静态设计
2022046278	000	信息可视化设计
2022046466	000	数媒动漫与短片
2022046555	000	数媒静态设计专业组
2022044740	000	微课与教学辅助
2022045774	000	数媒静态设计专业组
2022045321	000	微课与教学辅助
2022045284	000	微课与教学辅助
2022046525	000	数媒静态设计专业组
2022046552	000	数媒静态设计专业组
